,recipient,churned,churner_friends
0,11675,0,1
1,12589,0,4
2,13593,1,4
3,14080,1,4
4,14089,0,0
5,14094,0,4
6,14095,1,4
7,14098,1,4
8,14100,0,0
9,14103,1,5
10,14107,0,5
11,14111,1,9
12,14113,0,5
13,14121,0,3
14,14122,1,6
15,14126,0,6
16,14128,0,5
17,14129,0,1
18,14130,0,4
19,14133,0,3
20,14138,0,1
21,14141,0,5
22,14146,1,7
23,14148,0,1
24,14151,0,3
25,14152,0,3
26,14153,1,10
27,14154,0,2
28,14159,0,0
29,14167,0,5
30,14171,0,0
31,14172,1,5
32,14173,1,4
33,14174,0,3
34,14176,0,5
35,14177,1,10
36,14178,0,5
37,14186,0,2
38,14190,1,7
39,14193,1,7
40,14196,0,5
41,14197,1,8
42,14198,1,5
43,14201,1,6
44,14202,0,2
45,14205,0,4
46,14209,1,10
47,14211,1,10
48,14213,0,3
49,14216,0,1
50,14217,0,0
51,14220,0,5
52,14224,0,3
53,14228,0,0
54,14229,1,10
55,14234,0,2
56,14235,0,0
57,14236,0,0
58,14268,1,9
59,14318,0,5
60,14330,0,2
61,14331,0,6
62,14332,1,5
63,14340,0,1
64,14349,0,4
65,14482,1,9
66,14505,0,2
67,14534,1,7
68,14536,0,0
69,14554,1,8
70,14556,1,9
71,14569,0,4
72,14586,0,3
73,14587,0,4
74,14589,0,4
75,14606,0,2
76,14654,0,3
77,14724,0,3
78,14733,1,6
79,14751,0,5
80,14767,0,1
81,14887,0,6
82,14919,1,7
83,14935,0,6
84,14948,0,1
85,15003,1,6
86,15025,1,9
87,15054,0,1
88,15065,0,2
89,15120,1,10
90,15160,0,5
91,15194,0,3
92,15222,0,1
93,15258,1,4
94,15304,0,6
95,15339,0,6
96,15353,1,6
97,15465,1,7
98,15485,1,8
99,15513,1,5
100,15515,0,5
101,15531,0,4
102,15583,1,4
103,15763,1,5
104,15815,0,4
105,15874,0,6
106,15886,0,5
107,15909,0,4
108,15910,0,3
109,16198,1,8
110,16382,1,6
111,16499,1,8
112,16510,0,3
113,16511,0,1
114,16624,1,5
115,16635,0,5
116,16745,1,8
117,16861,0,2
118,16952,0,0
119,17034,0,1
120,17129,1,10
121,17179,1,10
122,19721,1,4
123,19733,0,6
124,19790,0,1
125,19808,0,1
126,19862,1,5
127,19869,1,9
128,19903,1,7
129,40107,0,1
130,40138,1,8
131,40165,0,2
132,40308,0,0
133,40321,0,3
134,40381,1,6
135,40676,1,4
136,40680,1,4
137,40681,0,0
138,40691,1,10
139,40709,0,4
140,40743,0,2
141,40751,0,5
142,40767,0,2
143,40795,1,7
144,40828,0,1
145,40830,0,4
146,40836,0,2
147,40837,0,6
148,40840,1,8
149,40841,0,0
150,40844,0,0
151,40845,0,2
152,40848,1,5
153,40853,0,3
154,40855,0,0
155,40856,0,6
156,40859,0,3
157,40860,0,4
158,40866,0,5
159,40867,0,5
160,40875,0,0
161,40878,0,1
162,40896,1,5
163,40901,1,10
164,40906,0,1
165,40911,0,1
166,40912,1,7
167,40919,0,1
168,40920,1,9
169,40921,0,6
170,40924,0,6
171,40925,0,4
172,40927,0,6
173,40930,0,1
174,40932,1,4
175,40937,0,3
176,40970,1,8
177,40973,0,6
178,41022,0,6
179,41029,1,7
180,41031,0,3
181,41054,1,8
182,41056,1,6
183,41059,0,6
184,41076,0,0
185,41100,0,5
186,41101,0,6
187,41102,0,1
188,41109,0,3
189,41110,1,5
190,41116,0,2
191,41119,0,1
192,41121,1,6
193,41123,0,0
194,41143,0,4
195,41144,0,3
196,41146,1,9
197,41158,0,1
198,41161,1,6
199,41166,0,3
200,41169,1,8
201,41173,0,6
202,41174,0,6
203,41183,0,4
204,41195,1,8
205,41196,1,8
206,41205,0,3
207,41210,0,1
208,41213,0,1
209,41222,0,5
210,41238,1,4
211,41247,1,5
212,41248,0,2
213,41261,0,6
214,41268,1,6
215,41270,0,6
216,41275,0,3
217,41282,0,6
218,41284,1,9
219,41295,1,8
220,41300,1,4
221,41314,1,4
222,41318,1,5
223,41342,0,4
224,41343,0,4
225,41353,1,4
226,41358,1,9
227,41361,1,10
228,41371,1,4
229,41390,0,3
230,41409,1,6
231,41419,0,3
232,41438,1,5
233,41460,0,0
234,41465,0,4
235,41476,1,7
236,41499,0,4
237,41500,1,10
238,41514,1,4
239,41537,1,8
240,41547,1,7
241,41548,0,3
242,41554,0,1
